epoch,batches,loss,loss_value,loss_policy,train_accuracy,val_accuracy,elapsed_seconds
0,1549,1.2525171387033973,0.09837437845800213,1.1541429671108376,0.7299265655261459,0.7736037234042553,13.793608903884888
1,1549,1.1466592452539945,0.08546507843391907,1.0611945805509604,0.7909034054228534,0.792719414893617,26.893483638763428
2,1549,1.1132555592821982,0.08285946042557699,1.030397320347805,0.8078447788896062,0.8031914893617021,39.947052240371704
3,1549,1.0896349932163896,0.07939180456645416,1.0102421641734587,0.8188397756617173,0.8136635638297872,52.90593767166138
4,1549,1.072468156118867,0.07692223013871097,0.9955466795614106,0.828296481601033,0.828623670212766,65.87759065628052
