epoch,batches,loss,loss_value,loss_policy,train_accuracy,val_accuracy,elapsed_seconds
0,5,1.6567663192749023,0.16176892518997193,1.4949974060058593,0.475,0.0,0.49666857719421387
1,5,1.465157413482666,0.08809460997581482,1.3770627975463867,0.50625,0.0,0.6082406044006348
2,5,1.3829764366149901,0.05949267148971558,1.3234837532043457,0.5203125,0.0,0.7018320560455322
3,5,1.32191743850708,0.03664076030254364,1.2852766036987304,0.5421875,0.0,0.7967607975006104
4,5,1.2754034042358398,0.03433031439781189,1.2410730361938476,0.5703125,0.0,0.8915054798126221
