epoch,batches,loss,loss_value,loss_policy,train_accuracy,val_accuracy,elapsed_seconds
0,5,2.527558517456055,0.09053250551223754,2.4370264053344726,0.3921875,0.0,0.5587356090545654
1,5,2.264191818237305,0.07779663205146789,2.186395263671875,0.4625,0.0,0.6752493381500244
2,5,2.075897979736328,0.06439989805221558,2.0114980697631837,0.5296875,0.0,0.779754638671875
3,5,1.997412109375,0.05474573969841003,1.942666244506836,0.5703125,0.0,0.8802034854888916
4,5,1.8800304412841797,0.048878532648086545,1.8311519622802734,0.5828125,0.0,0.9847860336303711
